annual_income,credit_score,employment_length,loan_amount,loan_term,interest_rate,home_ownership,purpose,previous_defaults,open_credit_lines,debt_to_income,default
29800.0,582,15.0,7800.0,60,17.28,MORTGAGE,major_purchase,0,4,30.7,1
28600.0,745,15.0,6200.0,60,13.73,MORTGAGE,credit_card,0,6,26.4,0
70700.0,623,4.0,5600.0,36,14.13,RENT,credit_card,0,7,10.3,0
90200.0,686,10.0,6500.0,36,12.01,OWN,credit_card,0,8,16.8,0
47500.0,756,4.0,12900.0,36,13.09,OWN,debt_consolidation,0,14,30.1,0
77000.0,740,2.0,11200.0,36,11.33,MORTGAGE,debt_consolidation,0,8,25.6,0
57700.0,682,20.0,14400.0,36,14.24,MORTGAGE,major_purchase,1,9,41.7,0
36700.0,656,3.0,10600.0,36,15.98,RENT,medical,0,9,38.8,0
57700.0,742,3.0,5700.0,60,14.42,RENT,debt_consolidation,1,18,18.7,0
97900.0,724,20.0,14000.0,60,12.98,MORTGAGE,home_improvement,0,8,20.6,0
48200.0,640,1.0,6600.0,60,15.29,RENT,home_improvement,0,10,17.1,0
99100.0,628,10.0,15100.0,60,17.27,OWN,small_business,0,10,24.7,0
15100.0,545,15.0,6100.0,36,21.36,RENT,small_business,0,8,44.9,1
71000.0,690,5.0,7800.0,60,14.33,MORTGAGE,medical,0,11,27.1,0
51000.0,675,0.0,9100.0,36,15.81,RENT,debt_consolidation,0,6,17.8,0
42800.0,754,3.0,15300.0,60,16.41,RENT,credit_card,0,10,41.1,0
51100.0,703,1.0,11900.0,36,12.47,MORTGAGE,major_purchase,0,9,27.6,0
20000.0,767,4.0,11000.0,36,15.21,MORTGAGE,medical,1,10,65.0,0
44400.0,635,10.0,28100.0,60,23.43,MORTGAGE,debt_consolidation,0,14,65.0,1
57600.0,754,4.0,4400.0,60,12.09,RENT,home_improvement,1,9,22.4,0
95300.0,646,4.0,6500.0,60,14.49,RENT,debt_consolidation,0,17,16.1,0
38800.0,731,5.0,6400.0,60,12.91,OWN,medical,0,8,26.8,0
34100.0,585,5.0,4500.0,36,13.15,MORTGAGE,small_business,1,8,14.0,0
39100.0,695,15.0,7600.0,60,17.8,MORTGAGE,debt_consolidation,1,8,26.4,0
74000.0,551,3.0,15400.0,60,21.91,RENT,home_improvement,1,10,36.7,1
56800.0,663,10.0,8100.0,60,16.95,MORTGAGE,credit_card,1,13,18.8,1
38600.0,709,5.0,9300.0,36,14.4,RENT,debt_consolidation,0,12,26.7,0
61800.0,646,3.0,4600.0,36,14.56,RENT,medical,0,9,19.2,0
51200.0,612,3.0,7300.0,36,16.22,RENT,debt_consolidation,0,6,15.7,0
75800.0,735,3.0,8700.0,36,15.02,RENT,credit_card,1,6,13.1,0
35700.0,673,7.0,15100.0,60,18.67,MORTGAGE,home_improvement,1,9,49.1,0
42300.0,648,2.0,4700.0,36,21.2,RENT,major_purchase,1,8,33.9,0
41100.0,683,15.0,8700.0,36,13.23,MORTGAGE,debt_consolidation,0,10,21.5,0
25400.0,850,5.0,18800.0,60,11.77,MORTGAGE,home_improvement,0,7,65.0,0
56000.0,755,15.0,8800.0,36,14.07,OWN,debt_consolidation,1,8,36.3,0
55100.0,756,0.0,3800.0,36,13.18,RENT,major_purchase,0,7,17.1,0
49100.0,708,3.0,20700.0,36,16.05,RENT,debt_consolidation,0,8,52.2,1
44100.0,691,0.0,15800.0,36,18.19,MORTGAGE,small_business,3,12,42.7,0
25900.0,524,2.0,16900.0,36,22.22,RENT,home_improvement,0,5,64.0,1
40600.0,636,15.0,4600.0,60,16.12,RENT,debt_consolidation,0,11,20.3,0
42000.0,649,0.0,23300.0,36,17.45,MORTGAGE,debt_consolidation,1,17,58.2,1
34200.0,558,4.0,7400.0,36,21.95,MORTGAGE,debt_consolidation,1,9,37.6,1
45600.0,605,1.0,8500.0,36,16.83,MORTGAGE,medical,0,8,19.9,0
58800.0,551,4.0,7700.0,36,18.85,OWN,credit_card,0,9,25.4,1
114600.0,678,10.0,17600.0,36,15.82,MORTGAGE,other,1,15,24.1,0
53000.0,733,7.0,10000.0,36,17.33,RENT,debt_consolidation,1,14,26.5,0
55000.0,752,10.0,13900.0,60,14.5,MORTGAGE,debt_consolidation,0,6,24.3,0
47400.0,707,3.0,11400.0,36,13.94,MORTGAGE,other,1,7,48.6,0
20700.0,617,20.0,10400.0,36,17.85,MORTGAGE,small_business,0,5,53.3,0
48400.0,554,7.0,6800.0,36,17.9,OWN,major_purchase,0,9,27.1,0
50400.0,566,4.0,27100.0,36,23.98,MORTGAGE,other,3,10,63.7,1
148500.0,598,4.0,5300.0,36,16.46,MORTGAGE,other,0,10,20.5,0
45000.0,622,15.0,13400.0,36,15.82,RENT,debt_consolidation,0,3,42.8,1
56100.0,670,5.0,13200.0,60,16.47,OWN,debt_consolidation,0,7,31.2,0
48300.0,614,7.0,19500.0,36,16.55,MORTGAGE,debt_consolidation,0,15,44.4,0
29000.0,702,4.0,21900.0,36,17.68,RENT,major_purchase,2,9,65.0,1
82000.0,665,2.0,10200.0,60,17.07,RENT,credit_card,0,7,16.3,0
68800.0,681,10.0,14300.0,36,12.09,RENT,home_improvement,0,11,31.0,0
70000.0,754,7.0,26400.0,36,11.02,RENT,medical,0,6,48.1,0
32600.0,603,5.0,10600.0,36,16.08,MORTGAGE,small_business,0,6,46.5,0
92200.0,707,7.0,6400.0,60,13.19,RENT,debt_consolidation,0,10,14.9,0
26100.0,679,2.0,9000.0,60,18.43,OWN,credit_card,0,12,33.9,0
63800.0,658,10.0,5700.0,36,12.91,MORTGAGE,debt_consolidation,0,11,3.1,0
131400.0,738,20.0,13200.0,36,15.97,RENT,credit_card,3,7,20.2,0
31400.0,737,15.0,18600.0,36,14.35,RENT,debt_consolidation,0,16,65.0,0
38000.0,618,3.0,10300.0,36,17.49,RENT,debt_consolidation,0,10,40.0,0
51300.0,668,4.0,4900.0,36,17.2,RENT,major_purchase,1,12,25.8,0
39100.0,698,10.0,18200.0,36,13.23,RENT,other,0,9,47.1,0
24400.0,662,7.0,4500.0,60,16.51,MORTGAGE,other,0,7,29.0,0
50600.0,718,5.0,5000.0,36,12.17,OWN,debt_consolidation,0,9,11.9,0
30400.0,698,15.0,10000.0,36,15.81,OWN,major_purchase,0,11,40.1,0
60700.0,799,5.0,12400.0,60,8.99,MORTGAGE,home_improvement,0,10,21.2,0
32400.0,581,5.0,13500.0,60,19.0,MORTGAGE,major_purchase,0,14,51.4,0
98500.0,672,0.0,10600.0,36,13.86,MORTGAGE,medical,1,10,17.1,0
34500.0,621,0.0,26400.0,60,21.05,MORTGAGE,other,0,12,65.0,1
42400.0,719,0.0,11300.0,36,15.04,RENT,debt_consolidation,0,7,37.9,0
70700.0,575,15.0,18300.0,36,15.14,MORTGAGE,major_purchase,0,10,32.2,0
28200.0,703,4.0,16200.0,36,12.96,OWN,small_business,0,16,55.5,0
54300.0,639,4.0,5700.0,36,17.71,RENT,debt_consolidation,1,6,19.4,0
88300.0,632,10.0,10000.0,36,15.05,RENT,credit_card,1,9,22.7,0
23800.0,586,7.0,31600.0,36,22.03,RENT,debt_consolidation,0,8,65.0,1
53300.0,650,7.0,8500.0,36,16.74,RENT,other,1,9,27.8,0
55100.0,750,3.0,7800.0,36,12.99,RENT,medical,1,5,28.6,0
69700.0,678,10.0,11900.0,36,14.61,RENT,home_improvement,0,9,20.4,0
28100.0,721,1.0,8700.0,36,15.67,OWN,credit_card,0,12,42.1,0
27100.0,788,0.0,7400.0,36,12.99,OWN,debt_consolidation,1,5,43.3,0
62000.0,697,2.0,8600.0,36,13.77,OWN,major_purchase,1,11,27.6,0
56000.0,644,2.0,22400.0,36,18.58,RENT,debt_consolidation,1,8,58.1,1
54900.0,710,3.0,10200.0,60,15.91,RENT,credit_card,0,10,21.9,0
57300.0,645,7.0,5600.0,60,14.31,RENT,medical,0,7,8.6,0
36100.0,647,2.0,5100.0,36,15.83,OWN,home_improvement,1,13,31.3,0
54400.0,581,7.0,33000.0,36,18.72,RENT,home_improvement,0,7,65.0,1
55900.0,740,1.0,9800.0,36,10.67,MORTGAGE,debt_consolidation,0,13,25.6,0
35500.0,655,1.0,13600.0,36,18.67,RENT,debt_consolidation,1,11,57.8,1
113500.0,692,5.0,7400.0,36,11.01,RENT,home_improvement,0,9,6.8,0
60700.0,613,,12800.0,36,17.46,RENT,debt_consolidation,0,9,23.6,0
28700.0,708,15.0,22700.0,36,18.3,MORTGAGE,debt_consolidation,0,11,65.0,1
65900.0,630,20.0,7900.0,36,11.75,RENT,credit_card,0,7,16.7,0
31600.0,671,7.0,13800.0,36,18.65,RENT,credit_card,2,7,52.3,1
69900.0,737,7.0,5400.0,36,14.72,RENT,credit_card,1,9,20.5,0
82600.0,731,7.0,30100.0,60,16.7,MORTGAGE,credit_card,0,13,49.0,0
33900.0,679,7.0,12500.0,36,17.11,MORTGAGE,credit_card,0,8,42.7,0
75600.0,565,1.0,8900.0,36,15.29,OWN,debt_consolidation,0,8,20.2,0
59000.0,850,5.0,9400.0,36,6.65,MORTGAGE,debt_consolidation,0,7,25.5,0
71000.0,793,4.0,8500.0,36,10.53,RENT,major_purchase,0,11,23.0,0
115100.0,727,4.0,8700.0,36,13.74,MORTGAGE,credit_card,1,11,21.3,0
43900.0,631,5.0,3200.0,36,17.37,MORTGAGE,credit_card,1,8,20.4,0
34900.0,673,1.0,10400.0,36,15.47,MORTGAGE,credit_card,1,9,34.7,0
32900.0,645,3.0,10200.0,60,21.19,OWN,debt_consolidation,1,9,,0
34000.0,762,0.0,14000.0,36,13.77,MORTGAGE,debt_consolidation,0,17,42.6,0
47300.0,697,20.0,8400.0,36,13.0,RENT,credit_card,0,9,31.7,0
57200.0,629,1.0,7400.0,60,16.79,RENT,credit_card,2,8,24.5,1
55500.0,649,2.0,10900.0,36,16.12,OWN,credit_card,0,8,28.3,0
71100.0,753,15.0,4900.0,36,10.82,RENT,debt_consolidation,0,10,14.2,0
49300.0,784,5.0,11800.0,36,13.78,MORTGAGE,debt_consolidation,1,9,31.7,0
94300.0,779,1.0,4300.0,36,10.92,OWN,credit_card,0,8,11.5,0
43500.0,729,4.0,19200.0,36,16.33,MORTGAGE,credit_card,2,6,51.0,0
166700.0,664,1.0,15400.0,36,11.42,MORTGAGE,medical,0,5,13.9,0
65000.0,469,2.0,6900.0,36,19.27,MORTGAGE,debt_consolidation,0,9,17.7,1
33300.0,699,0.0,15200.0,36,15.96,RENT,other,0,11,56.7,0
30300.0,680,4.0,11600.0,36,16.19,MORTGAGE,other,1,9,44.0,0
60900.0,689,10.0,6600.0,60,17.92,RENT,credit_card,2,3,,0
44300.0,684,5.0,4000.0,60,12.24,RENT,small_business,0,14,7.9,0
67600.0,594,7.0,12800.0,36,21.26,MORTGAGE,other,1,13,36.6,1
60700.0,716,2.0,7400.0,60,14.34,MORTGAGE,debt_consolidation,0,9,13.8,0
47400.0,721,3.0,18900.0,36,12.69,MORTGAGE,debt_consolidation,0,7,39.5,0
33500.0,724,10.0,11000.0,60,15.68,OWN,debt_consolidation,0,6,37.1,0
24800.0,742,1.0,7700.0,36,12.41,RENT,credit_card,0,4,42.7,0
40100.0,719,15.0,26900.0,60,17.32,MORTGAGE,debt_consolidation,0,9,64.3,1
72100.0,653,5.0,14600.0,60,17.89,RENT,other,1,11,27.8,1
54000.0,675,10.0,1800.0,36,14.41,MORTGAGE,credit_card,0,8,12.6,0
28000.0,686,3.0,8600.0,36,12.7,MORTGAGE,other,0,13,36.3,0
53000.0,687,3.0,5500.0,60,13.25,RENT,debt_consolidation,0,6,16.4,0
58300.0,745,10.0,7300.0,36,12.26,MORTGAGE,small_business,0,2,23.4,0
32900.0,722,10.0,10200.0,36,13.3,MORTGAGE,home_improvement,0,12,44.3,0
52500.0,815,2.0,13100.0,36,10.8,MORTGAGE,credit_card,0,6,31.2,0
50300.0,823,20.0,12500.0,36,7.32,MORTGAGE,medical,0,5,34.9,0
29300.0,685,1.0,18700.0,36,16.47,MORTGAGE,credit_card,1,11,65.0,1
57600.0,431,0.0,15000.0,36,22.13,RENT,debt_consolidation,0,11,26.8,0
63100.0,760,7.0,14600.0,36,14.28,MORTGAGE,other,1,15,33.5,0
79800.0,645,10.0,12100.0,60,14.27,MORTGAGE,credit_card,0,10,13.1,0
78800.0,628,20.0,20800.0,36,15.68,MORTGAGE,debt_consolidation,0,14,42.8,0
26400.0,654,4.0,9300.0,36,20.76,RENT,credit_card,1,12,51.9,1
32100.0,651,0.0,9500.0,36,17.22,RENT,home_improvement,0,12,34.5,0
61800.0,720,7.0,4200.0,60,15.45,RENT,credit_card,2,5,22.5,0
61800.0,579,3.0,18500.0,36,17.05,RENT,home_improvement,0,7,22.0,0
61800.0,610,4.0,10500.0,60,16.26,RENT,home_improvement,0,5,35.0,0
277500.0,702,5.0,40000.0,36,11.28,MORTGAGE,debt_consolidation,0,11,18.3,0
63400.0,720,0.0,8900.0,36,11.78,OWN,debt_consolidation,0,8,25.9,0
81700.0,722,5.0,11400.0,36,10.99,MORTGAGE,small_business,0,10,15.1,0
75300.0,629,4.0,14400.0,36,18.24,MORTGAGE,home_improvement,1,9,39.7,1
65700.0,616,7.0,6300.0,60,15.38,RENT,debt_consolidation,0,9,18.2,0
42500.0,647,7.0,13100.0,36,13.31,MORTGAGE,debt_consolidation,0,4,25.3,0
69000.0,696,2.0,11100.0,36,14.93,OWN,other,2,8,32.3,0
34600.0,777,2.0,9400.0,60,12.01,MORTGAGE,medical,0,6,35.4,0
44100.0,547,2.0,19700.0,36,20.79,RENT,home_improvement,0,8,46.6,1
39400.0,666,1.0,7000.0,36,15.15,MORTGAGE,debt_consolidation,2,10,35.6,0
50900.0,593,7.0,12500.0,60,17.13,RENT,home_improvement,1,14,33.7,0
138900.0,573,20.0,22600.0,36,21.55,RENT,debt_consolidation,2,8,34.8,1
21200.0,743,7.0,7700.0,60,13.23,MORTGAGE,home_improvement,0,7,40.5,0
66800.0,715,7.0,9400.0,60,15.47,OWN,small_business,0,9,20.2,0
23700.0,709,4.0,35300.0,36,16.62,MORTGAGE,credit_card,0,8,65.0,1
39600.0,740,3.0,13900.0,36,16.14,RENT,debt_consolidation,1,15,48.4,0
80000.0,649,15.0,8500.0,36,14.92,MORTGAGE,home_improvement,2,5,23.4,0
50500.0,652,20.0,16300.0,36,17.75,MORTGAGE,major_purchase,0,10,44.9,0
30200.0,822,5.0,8200.0,60,11.18,RENT,home_improvement,0,8,25.0,0
35500.0,664,3.0,5000.0,36,14.21,MORTGAGE,small_business,0,6,33.0,0
66600.0,728,10.0,21700.0,36,14.8,RENT,debt_consolidation,0,12,46.1,0
35300.0,680,1.0,6300.0,36,14.2,MORTGAGE,small_business,0,10,30.9,0
54000.0,560,10.0,37300.0,36,19.06,RENT,home_improvement,0,7,65.0,1
50000.0,547,10.0,8600.0,36,18.8,MORTGAGE,debt_consolidation,0,4,20.8,0
36600.0,642,1.0,31800.0,60,19.12,RENT,small_business,1,6,65.0,0
128600.0,749,20.0,5500.0,36,8.05,RENT,home_improvement,0,7,,0
65200.0,731,20.0,18300.0,60,15.07,RENT,home_improvement,0,11,33.4,0
19700.0,739,15.0,14000.0,36,16.28,MORTGAGE,debt_consolidation,0,9,65.0,0
53300.0,616,5.0,16600.0,36,16.6,MORTGAGE,debt_consolidation,0,10,38.0,0
36400.0,785,2.0,17700.0,36,12.08,RENT,other,0,6,51.2,0
71900.0,617,5.0,8500.0,60,14.57,RENT,credit_card,0,9,23.3,0
34300.0,694,4.0,5700.0,36,16.6,MORTGAGE,debt_consolidation,2,9,28.6,0
46600.0,679,2.0,10700.0,60,15.37,MORTGAGE,medical,0,6,33.3,0
61500.0,669,4.0,12200.0,60,16.69,MORTGAGE,debt_consolidation,1,8,31.9,0
72400.0,767,7.0,8600.0,60,10.25,MORTGAGE,credit_card,0,10,9.3,0
28600.0,634,0.0,12600.0,36,16.63,MORTGAGE,debt_consolidation,1,8,61.9,0
42200.0,592,3.0,12900.0,36,17.17,RENT,other,0,9,51.1,0
39600.0,681,0.0,6900.0,36,12.64,MORTGAGE,credit_card,0,11,20.7,0
36500.0,654,10.0,13300.0,36,15.97,MORTGAGE,small_business,0,9,44.1,1
108500.0,850,7.0,9600.0,60,13.66,RENT,home_improvement,1,6,28.7,0
58800.0,724,0.0,7700.0,60,12.89,MORTGAGE,debt_consolidation,0,13,24.1,0
27800.0,653,,16200.0,60,17.49,MORTGAGE,credit_card,0,8,55.4,1
74100.0,611,0.0,7400.0,36,14.58,MORTGAGE,credit_card,1,13,19.3,0
127400.0,558,5.0,8700.0,36,15.77,MORTGAGE,other,0,11,12.4,0
78000.0,613,10.0,11300.0,36,15.19,RENT,major_purchase,1,11,20.5,0
24700.0,687,10.0,21700.0,36,15.27,RENT,medical,0,8,65.0,0
39400.0,773,0.0,12000.0,60,15.34,RENT,debt_consolidation,1,5,45.5,0
86700.0,753,15.0,14200.0,60,13.51,OWN,debt_consolidation,0,9,19.0,0
35700.0,695,15.0,9400.0,36,17.11,OWN,credit_card,1,10,43.6,1
59900.0,659,5.0,10500.0,36,13.77,RENT,home_improvement,0,11,31.8,0
69500.0,697,5.0,10700.0,36,13.66,RENT,small_business,1,15,24.3,0
32300.0,646,0.0,12700.0,36,18.5,RENT,major_purchase,0,11,41.8,0
47700.0,792,5.0,9400.0,36,11.63,RENT,medical,0,11,35.5,0
15000.0,668,4.0,21400.0,36,17.22,RENT,debt_consolidation,0,13,,1
30900.0,674,10.0,9100.0,36,16.37,RENT,major_purchase,0,8,43.6,0
43800.0,536,4.0,4700.0,60,20.3,MORTGAGE,home_improvement,0,8,22.9,1
28000.0,667,7.0,40000.0,36,17.47,MORTGAGE,credit_card,0,14,65.0,1
102200.0,734,1.0,9300.0,60,9.18,RENT,home_improvement,0,9,1.6,0
25800.0,611,,21100.0,36,16.82,MORTGAGE,medical,0,17,65.0,1
40200.0,631,1.0,22100.0,60,19.56,MORTGAGE,credit_card,0,9,57.6,1
52000.0,732,0.0,17500.0,60,17.38,RENT,debt_consolidation,1,7,45.5,0
93800.0,584,5.0,9900.0,36,15.88,MORTGAGE,credit_card,1,12,23.3,1
25700.0,749,10.0,12600.0,36,15.67,RENT,other,0,11,65.0,0
82700.0,645,7.0,5800.0,36,10.36,RENT,major_purchase,0,15,8.0,0
49200.0,655,5.0,29600.0,36,15.4,RENT,debt_consolidation,0,9,64.0,1
31500.0,607,7.0,7100.0,36,15.4,OWN,small_business,1,10,26.6,0
60400.0,705,3.0,9600.0,36,15.96,MORTGAGE,debt_consolidation,0,10,27.0,0
53600.0,840,3.0,11500.0,60,17.18,RENT,debt_consolidation,3,9,48.8,0
37400.0,731,3.0,10400.0,36,13.87,MORTGAGE,credit_card,0,6,36.2,0
50600.0,624,7.0,7900.0,36,15.02,RENT,credit_card,0,12,21.4,0
41200.0,754,1.0,22000.0,36,15.9,OWN,debt_consolidation,1,5,65.0,0
51600.0,659,0.0,17600.0,60,16.99,MORTGAGE,major_purchase,0,10,46.5,1
66000.0,769,7.0,12800.0,36,8.62,MORTGAGE,medical,0,5,12.9,0
100100.0,732,20.0,9000.0,36,12.27,MORTGAGE,credit_card,0,11,22.1,0
28100.0,489,7.0,18600.0,60,21.41,MORTGAGE,debt_consolidation,0,12,65.0,1
128000.0,615,10.0,8700.0,36,15.16,OWN,debt_consolidation,1,5,10.6,0
20400.0,741,7.0,24000.0,36,16.0,MORTGAGE,debt_consolidation,0,4,65.0,0
45800.0,690,5.0,11600.0,36,13.65,RENT,debt_consolidation,0,7,27.6,0
63900.0,613,7.0,20200.0,36,18.17,RENT,medical,0,10,33.6,0
55600.0,639,10.0,10300.0,36,11.25,RENT,credit_card,0,14,18.7,0
37000.0,556,2.0,11300.0,60,17.19,RENT,debt_consolidation,0,12,31.9,0
44600.0,674,3.0,20200.0,36,16.11,RENT,debt_consolidation,0,13,48.6,0
39300.0,824,2.0,32800.0,36,12.6,RENT,other,0,9,65.0,0
37600.0,732,4.0,23900.0,36,15.03,RENT,credit_card,0,9,65.0,1
71800.0,822,15.0,17000.0,36,12.66,MORTGAGE,credit_card,0,9,30.1,0
57600.0,737,3.0,14700.0,36,11.24,MORTGAGE,credit_card,0,8,30.3,0
35900.0,747,3.0,8500.0,60,13.53,RENT,debt_consolidation,0,9,32.1,0
73500.0,808,15.0,12700.0,60,11.12,RENT,other,0,11,30.5,0
56300.0,705,5.0,6900.0,36,11.0,RENT,debt_consolidation,0,12,17.2,0
70700.0,668,5.0,13200.0,36,16.06,OWN,small_business,1,10,30.0,1
65100.0,747,15.0,13600.0,36,13.05,MORTGAGE,debt_consolidation,0,5,26.1,0
33800.0,774,5.0,4100.0,60,11.92,OWN,credit_card,0,4,26.4,0
38100.0,649,7.0,11200.0,36,13.25,OWN,medical,0,10,30.0,0
68600.0,633,1.0,13500.0,36,15.25,OWN,major_purchase,0,14,40.3,0
64500.0,689,1.0,10500.0,60,12.96,RENT,debt_consolidation,0,6,17.6,0
48600.0,734,4.0,13100.0,36,14.26,MORTGAGE,credit_card,0,12,44.8,0
51700.0,732,5.0,5600.0,36,10.88,OWN,debt_consolidation,0,12,15.1,0
87100.0,587,20.0,7400.0,36,15.11,RENT,other,0,4,13.3,0
37600.0,804,20.0,18400.0,36,12.78,MORTGAGE,small_business,1,13,54.3,0
62700.0,638,15.0,10900.0,60,14.88,RENT,credit_card,0,9,20.8,0
44800.0,663,3.0,13000.0,36,12.17,RENT,debt_consolidation,0,4,30.7,0
44400.0,621,20.0,8300.0,36,15.41,OWN,debt_consolidation,0,9,29.0,0
80400.0,850,7.0,11000.0,36,9.63,MORTGAGE,major_purchase,0,8,14.9,0
71100.0,696,4.0,3500.0,60,9.76,MORTGAGE,credit_card,0,10,0.0,0
70700.0,625,7.0,16700.0,60,14.29,MORTGAGE,debt_consolidation,0,13,25.2,0
88200.0,736,0.0,27000.0,36,13.61,MORTGAGE,other,0,9,40.3,0
49500.0,730,1.0,6400.0,36,12.18,MORTGAGE,debt_consolidation,1,7,30.1,0
66600.0,668,10.0,6800.0,36,15.52,OWN,debt_consolidation,0,4,30.0,0
42600.0,735,7.0,13600.0,36,11.32,OWN,debt_consolidation,0,9,42.9,0
56700.0,626,3.0,22900.0,36,20.71,MORTGAGE,debt_consolidation,1,13,60.5,0
